1,14237,984,1,GroceryPurchase
2,28045,1439,5,SportsEquipmentPurchase
3,37969,1574,1,ElectronicsPurchase
4,39535,1511,13,ClothingPurchase
5,28709,955,11,FurniturePurchase
6,39663,1028,4,OfficeSuppliesPurchase
7,21308,1685,8,HealthCarePurchase
8,43925,412,2,BeautyProductsPurchase
9,48719,919,10,HomeImprovementPurchase
10,37401,853,12,OutdoorEquipmentPurchase
11,124,1797,5,TravelPurchase
12,13892,763,3,EntertainmentPurchase
13,41819,1296,7,SubscriptionPurchase
14,23235,1998,6,AutomotivePurchase
15,7674,683,14,PetSuppliesPurchase
16,24396,86,10,BooksPurchase
17,19277,361,13,MusicPurchase
18,5246,1723,6,MoviePurchase
19,36845,1648,4,EducationPurchase
20,11566,1269,13,TechnologyPurchase
21,29675,846,7,RestaurantPurchase
22,32830,1350,1,FitnessEquipmentPurchase
23,36821,950,15,HobbySuppliesPurchase
24,9348,223,13,HouseholdItemsPurchase
25,27638,1026,15,KidsToysPurchase
26,14397,1431,2,GroceryPurchase
27,32,127,2,SportsEquipmentPurchase
28,35495,963,2,ElectronicsPurchase
29,43998,414,14,ClothingPurchase
30,13602,867,9,FurniturePurchase
31,29407,314,8,OfficeSuppliesPurchase
32,37538,80,12,HealthCarePurchase
33,3741,1822,11,BeautyProductsPurchase
34,18856,138,7,HomeImprovementPurchase
35,35292,1417,11,OutdoorEquipmentPurchase
36,35388,1241,1,TravelPurchase
37,27335,96,8,EntertainmentPurchase
38,47442,908,10,SubscriptionPurchase
39,20979,751,3,AutomotivePurchase
40,38603,1371,1,PetSuppliesPurchase
41,132,1163,13,BooksPurchase
42,14148,1337,7,MusicPurchase
43,23249,1107,8,MoviePurchase
44,28157,145,1,EducationPurchase
45,17202,1701,12,TechnologyPurchase
46,7445,54,14,RestaurantPurchase
47,39462,888,2,FitnessEquipmentPurchase
48,22265,649,13,HobbySuppliesPurchase
49,20436,487,1,HouseholdItemsPurchase
50,1545,548,3,KidsToysPurchase
51,16362,1514,8,GroceryPurchase
52,5930,1889,10,SportsEquipmentPurchase
53,34888,454,6,ElectronicsPurchase
54,5922,654,3,ClothingPurchase
55,22855,1958,1,FurniturePurchase
56,32292,963,15,OfficeSuppliesPurchase
57,27137,1208,6,HealthCarePurchase
58,26110,1871,5,BeautyProductsPurchase
59,47660,107,7,HomeImprovementPurchase
60,32104,1071,6,OutdoorEquipmentPurchase
61,29369,194,11,TravelPurchase
62,30819,1099,7,EntertainmentPurchase
63,3409,1474,13,SubscriptionPurchase
64,45498,829,4,AutomotivePurchase
65,23385,1630,7,PetSuppliesPurchase
66,40446,1672,1,BooksPurchase
67,42308,1239,5,MusicPurchase
68,15611,1955,4,MoviePurchase
69,8431,81,3,EducationPurchase
70,44419,352,10,TechnologyPurchase
71,21174,298,2,RestaurantPurchase
72,5977,530,14,FitnessEquipmentPurchase
73,39684,1650,8,HobbySuppliesPurchase
74,18774,207,15,HouseholdItemsPurchase
75,13274,656,13,KidsToysPurchase
76,37082,1892,11,GroceryPurchase
77,161,975,8,SportsEquipmentPurchase
78,41776,88,2,ElectronicsPurchase
79,5380,523,1,ClothingPurchase
80,41329,1922,4,FurniturePurchase
81,39380,1763,7,OfficeSuppliesPurchase
82,12308,85,4,HealthCarePurchase
83,42131,1468,8,BeautyProductsPurchase
84,33423,1270,15,HomeImprovementPurchase
85,13291,958,12,OutdoorEquipmentPurchase
86,8281,1936,9,TravelPurchase
87,42611,973,15,EntertainmentPurchase
88,42755,240,14,SubscriptionPurchase
89,44117,660,15,AutomotivePurchase
90,25418,1703,2,PetSuppliesPurchase
91,27401,1544,15,BooksPurchase
92,9461,92,6,MusicPurchase
93,17401,1172,13,MoviePurchase
94,24273,267,8,EducationPurchase
95,28707,1251,9,TechnologyPurchase
96,38357,1799,8,RestaurantPurchase
97,5836,90,14,FitnessEquipmentPurchase
98,43322,866,3,HobbySuppliesPurchase
99,16692,104,8,HouseholdItemsPurchase
100,40489,1413,4,KidsToysPurchase
101,2652,1295,6,GroceryPurchase
102,27979,796,13,SportsEquipmentPurchase
103,29537,48,6,ElectronicsPurchase
104,4651,1911,9,ClothingPurchase
105,13243,459,12,FurniturePurchase
106,21209,1598,4,OfficeSuppliesPurchase
107,6547,155,5,HealthCarePurchase
108,186,534,9,BeautyProductsPurchase
109,32417,1829,9,HomeImprovementPurchase
110,14493,22,11,OutdoorEquipmentPurchase
111,4226,1290,8,TravelPurchase
112,41520,982,5,EntertainmentPurchase
